Crash_Ref_Number,Crash_Severity,Crash_Month,Crash_Month_Num,Crash_Day_Of_Week,Crash_Day_Num,Crash_Hour,Crash_Nature,Crash_Type,Crash_Latitude,Crash_Longitude,Loc_Post_Code,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition,Crash_Road_Horiz_Align,Crash_Road_Vert_Align,Count_Unit_Car,DCA_Code,DCA_Description
304104,Medical treatment,February,2,Sunday,7,7,Hit object,Single Vehicle,-27.32936944,153.0120111,4036,100 - 110 km/h,Sealed - Wet,Raining,Daylight,Curved - view open,Level,1,20,Out of Control on Curve
304161,Minor injury,January,1,Tuesday,2,12,Rear-end,Multi-Vehicle,-27.35733445,153.090797,4014,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,2,05,Lane Change
304172,Hospitalisation,April,4,Monday,1,15,Rear-end,Multi-Vehicle,-27.44447245,153.100495,4009,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,2,05,Lane Change
304189,Medical treatment,May,5,Saturday,6,18,Angle,Multi-Vehicle,-27.49551445,153.037512,4102,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,2,05,Lane Change
304211,Hospitalisation,June,6,Wednesday,3,14,Rear-end,Multi-Vehicle,-27.44235745,153.099912,4009,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,1,04,Rear-end
304401,Medical treatment,September,9,Friday,5,8,Rear-end,Multi-Vehicle,-27.31124544,153.0375121,4017,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,2,21,Other
309212,Minor injury,October,10,Tuesday,2,17,Rear-end,Multi-Vehicle,-27.45589245,153.107107,4172,100 - 110 km/h,Sealed - Wet,Raining,Daylight,Straight,Level,2,04,Rear-end
309213,Medical treatment,October,10,Friday,5,17,Rear-end,Multi-Vehicle,-27.33742445,153.066153,4034,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,4,04,Rear-end
309620,Minor injury,November,11,Sunday,7,19,Rear-end,Multi-Vehicle,-27.49649944,152.964067,4068,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,2,04,Rear-end
309950,Hospitalisation,October,10,Saturday,6,18,Angle,Multi-Vehicle,-27.37675343,152.8363431,4520,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Lighted,Curved - view open,Level,2,01,Intersection: Adjacent Approach
309959,Hospitalisation,October,10,Monday,1,6,Rear-end,Multi-Vehicle,-27.43644745,153.031466,4030,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,3,04,Rear-end
310194,Hospitalisation,March,3,Saturday,6,5,Head-on,Multi-Vehicle,-27.46639409,153.0352219,4169,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,2,02,Head-on
310616,Medical treatment,March,3,Tuesday,2,9,Rear-end,Multi-Vehicle,-27.50174145,153.039527,4120,100 - 110 km/h,Sealed - Wet,Raining,Daylight,Straight,Level,4,04,Rear-end
310627,Minor injury,March,3,Tuesday,2,18,Angle,Multi-Vehicle,-27.47848845,153.027438,4000,80 - 90 km/h,Sealed - Wet,Raining,Darkness - Lighted,Straight,Level,2,05,Lane Change
312593,Minor injury,June,6,Thursday,4,9,Rear-end,Multi-Vehicle,-27.40372245,153.075162,4012,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Grade,1,04,Rear-end
312660,Medical treatment,June,6,Wednesday,3,17,Rear-end,Multi-Vehicle,-27.56929944,152.968058,4075,80 - 90 km/h,Sealed - Dry,Clear,Dawn/Dusk,Straight,Level,3,04,Rear-end
312870,Hospitalisation,June,6,Wednesday,3,18,Rear-end,Multi-Vehicle,-27.47100945,153.117262,4173,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,1,04,Rear-end
312877,Medical treatment,June,6,Friday,5,16,Sideswipe,Multi-Vehicle,-27.33198345,153.050689,4017,100 - 110 km/h,Sealed - Dry,Clear,Dawn/Dusk,Curved - view open,Level,2,05,Lane Change
312890,Hospitalisation,July,7,Monday,1,7,Sideswipe,Multi-Vehicle,-27.53632646,153.120375,4156,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Dip,1,05,Lane Change
312932,Hospitalisation,November,11,Wednesday,3,17,Overturned,Single Vehicle,-27.50758045,153.038363,4120,80 - 90 km/h,Sealed - Wet,Raining,Daylight,Curved - view open,Level,1,19,Off Carriageway on Curve Hit Object
312938,Minor injury,November,11,Wednesday,3,16,Rear-end,Multi-Vehicle,-27.50893046,153.125244,4153,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,04,Rear-end
312955,Hospitalisation,December,12,Thursday,4,9,Rear-end,Multi-Vehicle,-27.50366145,153.039146,4120,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,04,Rear-end
312974,Hospitalisation,August,8,Monday,1,11,Angle,Multi-Vehicle,-27.52433047,153.239986,4161,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,2,01,Intersection: Adjacent Approach
313060,Medical treatment,November,11,Wednesday,3,9,Sideswipe,Multi-Vehicle,-27.34411945,153.076916,4034,100 - 110 km/h,Sealed - Wet,Raining,Daylight,Straight,Level,2,05,Lane Change
313795,Hospitalisation,October,10,Monday,1,5,Hit object,Single Vehicle,-27.60704845,153.083916,4112,100 - 110 km/h,Sealed - Dry,Clear,Dawn/Dusk,Curved - view open,Level,1,21,Other
329994,Medical treatment,February,2,Wednesday,3,6,Rear-end,Multi-Vehicle,-27.57670144,152.944787,4076,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,04,Rear-end
334034,Medical treatment,February,2,Tuesday,2,15,Rear-end,Multi-Vehicle,-27.36865414,153.0972009,4014,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,04,Rear-end
336442,Medical treatment,May,5,Wednesday,3,18,Rear-end,Multi-Vehicle,-27.30123944,153.0162141,4036,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Level,2,04,Rear-end
336464,Medical treatment,October,10,Wednesday,3,14,Rear-end,Multi-Vehicle,-27.61417347,153.236342,4165,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,2,04,Rear-end
